point,cell,grid,lat,lon
3336,1435,era_interim,68.421,18.333
3338,1471,era_interim,68.421,21.667
3551,1435,era_interim,67.719,16.667
3552,1435,era_interim,67.719,18.333
3553,1471,era_interim,67.719,20
3554,1471,era_interim,67.719,21.667
3555,1471,era_interim,67.719,23.333
3767,1435,era_interim,67.017,16.667
3768,1435,era_interim,67.017,18.333
3769,1471,era_interim,67.017,20
3770,1471,era_interim,67.017,21.667
3771,1471,era_interim,67.017,23.333
3983,1435,era_interim,66.316,16
3984,1435,era_interim,66.316,17.6
3985,1435,era_interim,66.316,19.2
3986,1471,era_interim,66.316,20.8
3987,1471,era_interim,66.316,22.4
4208,1435,era_interim,65.614,15
4209,1435,era_interim,65.614,16.5
4210,1435,era_interim,65.614,18
4211,1435,era_interim,65.614,19.5
4212,1471,era_interim,65.614,21
4448,1434,era_interim,64.912,15
4449,1434,era_interim,64.912,16.5
4450,1434,era_interim,64.912,18
4451,1434,era_interim,64.912,19.5
4452,1470,era_interim,64.912,21
4688,1434,era_interim,64.21,15
4689,1434,era_interim,64.21,16.5
4690,1434,era_interim,64.21,18
4691,1434,era_interim,64.21,19.5
4692,1470,era_interim,64.21,21
4927,1398,era_interim,63.509,12.96
4928,1398,era_interim,63.509,14.4
4929,1434,era_interim,63.509,15.84
4930,1434,era_interim,63.509,17.28
4931,1434,era_interim,63.509,18.72
5177,1398,era_interim,62.807,12.96
5178,1398,era_interim,62.807,14.4
5179,1434,era_interim,62.807,15.84
5180,1434,era_interim,62.807,17.28
5427,1398,era_interim,62.105,12.656
5428,1398,era_interim,62.105,14.062
5429,1434,era_interim,62.105,15.469
5430,1434,era_interim,62.105,16.875
5684,1398,era_interim,61.403,13.333
5685,1398,era_interim,61.403,14.667
5686,1434,era_interim,61.403,16
5954,1398,era_interim,60.702,13.333
5955,1398,era_interim,60.702,14.667
5956,1434,era_interim,60.702,16
6224,1398,era_interim,60,12.5
6225,1398,era_interim,60,13.75
6226,1434,era_interim,60,15
6227,1434,era_interim,60,16.25
6228,1434,era_interim,60,17.5
6512,1397,era_interim,59.298,12.5
6513,1397,era_interim,59.298,13.75
6514,1433,era_interim,59.298,15
6515,1433,era_interim,59.298,16.25
6800,1397,era_interim,58.596,12.5
6801,1397,era_interim,58.596,13.75
6802,1433,era_interim,58.596,15
6803,1433,era_interim,58.596,16.25
7088,1397,era_interim,57.895,12
7089,1397,era_interim,57.895,13.2
7090,1397,era_interim,57.895,14.4
7091,1433,era_interim,57.895,15.6
7389,1397,era_interim,57.193,13.2
7390,1397,era_interim,57.193,14.4
7391,1433,era_interim,57.193,15.6
7690,1397,era_interim,56.491,13.5
7691,1397,era_interim,56.491,14.625
7692,1433,era_interim,56.491,15.75
8010,1397,era_interim,55.789,13.5
