point,cell,grid,lat,lon
912322,1471,quarter,68.375,20.625
903692,1471,quarter,66.875,23.125
902249,1471,quarter,66.625,22.375
902231,1435,quarter,66.625,17.875
900813,1471,quarter,66.375,23.375
851823,1433,quarter,57.875,15.875
846059,1397,quarter,56.875,14.875
841731,1397,quarter,56.125,12.875
895043,1471,quarter,65.375,20.875
876294,1398,quarter,62.125,13.625
879189,1434,quarter,62.625,17.375
874863,1434,quarter,61.875,15.875
874865,1434,quarter,61.875,16.375
912324,1471,quarter,68.375,21.125
910892,1471,quarter,68.125,23.125
909444,1471,quarter,67.875,21.125
909452,1471,quarter,67.875,23.125
906570,1471,quarter,67.375,22.625
903693,1471,quarter,66.875,23.375
900799,1435,quarter,66.375,19.875
899353,1435,quarter,66.125,18.375
866215,1398,quarter,60.375,13.875
863335,1397,quarter,59.875,13.875
856137,1397,quarter,58.625,14.375
854686,1397,quarter,58.375,11.625
853265,1433,quarter,58.125,16.375
851814,1397,quarter,57.875,13.625
850377,1397,quarter,57.625,14.375
843171,1397,quarter,56.375,12.875
841735,1397,quarter,56.125,13.875
840296,1397,quarter,55.875,14.125
893599,1435,quarter,65.125,19.875
870545,1434,quarter,61.125,16.375
883492,1398,quarter,63.375,13.125
873411,1398,quarter,61.625,12.875
867666,1434,quarter,60.625,16.625
905109,1435,quarter,67.125,17.375
905119,1435,quarter,67.125,19.875
902251,1471,quarter,66.625,22.875
900788,1435,quarter,66.375,17.125
899340,1435,quarter,66.125,15.125
857587,1433,quarter,58.875,16.875
856128,1397,quarter,58.625,12.125
850393,1433,quarter,57.625,18.375
847493,1397,quarter,57.125,13.375
897914,1435,quarter,65.875,18.625
896467,1435,quarter,65.625,16.875
896471,1435,quarter,65.625,17.875
895030,1435,quarter,65.375,17.625
895040,1471,quarter,65.375,20.125
895041,1471,quarter,65.375,20.375
889260,1434,quarter,64.375,15.125
887833,1434,quarter,64.125,18.375
887818,1398,quarter,64.125,14.625
886384,1434,quarter,63.875,16.125
886392,1434,quarter,63.875,18.125
884932,1398,quarter,63.625,13.125
884956,1434,quarter,63.625,19.125
880608,1398,quarter,62.875,12.125
909438,1435,quarter,67.875,19.625
905108,1435,quarter,67.125,17.125
899362,1471,quarter,66.125,20.625
866221,1434,quarter,60.375,15.375
861894,1397,quarter,59.625,13.625
860460,1433,quarter,59.375,15.125
859015,1397,quarter,59.125,13.875
859018,1397,quarter,59.125,14.625
856138,1397,quarter,58.625,14.625
856141,1433,quarter,58.625,15.375
850385,1433,quarter,57.625,16.375
847498,1397,quarter,57.125,14.625
844615,1397,quarter,56.625,13.875
892137,1398,quarter,64.875,14.375
892145,1434,quarter,64.875,16.375
890712,1434,quarter,64.625,18.125
889259,1398,quarter,64.375,14.875
889282,1470,quarter,64.375,20.625
870542,1434,quarter,61.125,15.625
876289,1398,quarter,62.125,12.375
876291,1398,quarter,62.125,12.875
886377,1398,quarter,63.875,14.375
913761,1471,quarter,68.625,20.375
906552,1435,quarter,67.375,18.125
903677,1435,quarter,66.875,19.375
859027,1433,quarter,59.125,16.875
859007,1397,quarter,59.125,11.875
857588,1433,quarter,58.875,17.125
857589,1433,quarter,58.875,17.375
847489,1397,quarter,57.125,12.375
846057,1397,quarter,56.875,14.375
846064,1433,quarter,56.875,16.125
896461,1435,quarter,65.625,15.375
869091,1398,quarter,60.875,12.875
883516,1434,quarter,63.375,19.125
882064,1434,quarter,63.125,16.125
880628,1434,quarter,62.875,17.125
879181,1434,quarter,62.625,15.375
912318,1435,quarter,68.375,19.625
912320,1471,quarter,68.375,20.125
909449,1471,quarter,67.875,22.375
902243,1471,quarter,66.625,20.875
902252,1471,quarter,66.625,23.125
900806,1471,quarter,66.375,21.625
899369,1471,quarter,66.125,22.375
899374,1471,quarter,66.125,23.625
864773,1398,quarter,60.125,13.375
863332,1397,quarter,59.875,13.125
863344,1433,quarter,59.875,16.125
856125,1397,quarter,58.625,11.375
856131,1397,quarter,58.625,12.875
887838,1434,quarter,64.125,19.625
886386,1434,quarter,63.875,16.625
883490,1398,quarter,63.375,12.625
882060,1434,quarter,63.125,15.125
873410,1398,quarter,61.625,12.625
873420,1434,quarter,61.625,15.125
867662,1434,quarter,60.625,15.625
864789,1434,quarter,60.125,17.375
863350,1433,quarter,59.875,17.625
857569,1397,quarter,58.875,12.375
851821,1433,quarter,57.875,15.375
846051,1397,quarter,56.875,12.875
843177,1397,quarter,56.375,14.375
893578,1399,quarter,65.125,14.625
893583,1435,quarter,65.125,15.875
892163,1470,quarter,64.875,20.875
889270,1434,quarter,64.375,17.625
886382,1434,quarter,63.875,15.625
867658,1398,quarter,60.625,14.625
912327,1471,quarter,68.375,21.875
900791,1435,quarter,66.375,17.875
866224,1434,quarter,60.375,16.125
864772,1398,quarter,60.125,13.125
864783,1434,quarter,60.125,15.875
863339,1397,quarter,59.875,14.875
861889,1397,quarter,59.625,12.375
860463,1433,quarter,59.375,15.875
856144,1433,quarter,58.625,16.125
851812,1397,quarter,57.875,13.125
850386,1433,quarter,57.625,16.625
841730,1397,quarter,56.125,12.625
893587,1435,quarter,65.125,16.875
889276,1434,quarter,64.375,19.125
869096,1398,quarter,60.875,14.125
870544,1434,quarter,61.125,16.125
887843,1470,quarter,64.125,20.875
884944,1434,quarter,63.625,16.125
879168,1398,quarter,62.625,12.125
874861,1434,quarter,61.875,15.375
871978,1398,quarter,61.375,14.625
909451,1471,quarter,67.875,22.875
906572,1471,quarter,67.375,23.125
900796,1435,quarter,66.375,19.125
866226,1434,quarter,60.375,16.625
864781,1434,quarter,60.125,15.375
863355,1433,quarter,59.875,18.875
861907,1433,quarter,59.625,16.875
856139,1397,quarter,58.625,14.875
851816,1397,quarter,57.875,14.125
847502,1433,quarter,57.125,15.625
897915,1435,quarter,65.875,18.875
897933,1471,quarter,65.875,23.375
897936,1471,quarter,65.875,24.125
869089,1398,quarter,60.875,12.375
876305,1434,quarter,62.125,16.375
887841,1470,quarter,64.125,20.375
867668,1434,quarter,60.625,17.125
908008,1471,quarter,67.625,22.125
902239,1435,quarter,66.625,19.875
899341,1435,quarter,66.125,15.375
899344,1435,quarter,66.125,16.125
863329,1397,quarter,59.875,12.375
863340,1433,quarter,59.875,15.125
863348,1433,quarter,59.875,17.125
861901,1433,quarter,59.625,15.375
850369,1397,quarter,57.625,12.375
850371,1397,quarter,57.625,12.875
846050,1397,quarter,56.875,12.625
844619,1397,quarter,56.625,14.875
897934,1471,quarter,65.875,23.625
896477,1435,quarter,65.625,19.375
892141,1434,quarter,64.875,15.375
892156,1434,quarter,64.875,19.125
889266,1434,quarter,64.375,16.625
887840,1470,quarter,64.125,20.125
887820,1434,quarter,64.125,15.125
887826,1434,quarter,64.125,16.625
886380,1434,quarter,63.875,15.125
884949,1434,quarter,63.625,17.375
884952,1434,quarter,63.625,18.125
882070,1434,quarter,63.125,17.625
880624,1434,quarter,62.875,16.125
873425,1434,quarter,61.625,16.375
873426,1434,quarter,61.625,16.625
867665,1434,quarter,60.625,16.375
908003,1471,quarter,67.625,20.875
906568,1471,quarter,67.375,22.125
903672,1435,quarter,66.875,18.125
899363,1471,quarter,66.125,20.875
866228,1434,quarter,60.375,17.125
860467,1433,quarter,59.375,16.875
859032,1433,quarter,59.125,18.125
857568,1397,quarter,58.875,12.125
854689,1397,quarter,58.375,12.375
847496,1397,quarter,57.125,14.125
843182,1433,quarter,56.375,15.625
897929,1471,quarter,65.875,22.375
892164,1470,quarter,64.875,21.125
870540,1434,quarter,61.125,15.125
883497,1398,quarter,63.375,14.375
880626,1434,quarter,62.875,16.625
873417,1398,quarter,61.625,14.375
871982,1434,quarter,61.375,15.625
909453,1471,quarter,67.875,23.375
900792,1435,quarter,66.375,18.125
866223,1434,quarter,60.375,15.875
864774,1398,quarter,60.125,13.625
861890,1397,quarter,59.625,12.625
844620,1433,quarter,56.625,15.125
897919,1435,quarter,65.875,19.875
897922,1471,quarter,65.875,20.625
870547,1434,quarter,61.125,16.875
886376,1398,quarter,63.875,14.125
884959,1434,quarter,63.625,19.875
882049,1398,quarter,63.125,12.375
882055,1398,quarter,63.125,13.875
882057,1398,quarter,63.125,14.375
877733,1398,quarter,62.375,13.375
913762,1471,quarter,68.625,20.625
900805,1471,quarter,66.375,21.375
859009,1397,quarter,59.125,12.375
859019,1397,quarter,59.125,14.875
857575,1397,quarter,58.875,13.875
848932,1397,quarter,57.375,13.125
896476,1435,quarter,65.625,19.125
896480,1471,quarter,65.625,20.125
895023,1435,quarter,65.375,15.875
892161,1470,quarter,64.875,20.375
889264,1434,quarter,64.375,16.125
889267,1434,quarter,64.375,16.875
889271,1434,quarter,64.375,17.875
886372,1398,quarter,63.875,13.125
886374,1398,quarter,63.875,13.625
882062,1434,quarter,63.125,15.625
879177,1398,quarter,62.625,14.375
867653,1398,quarter,60.625,13.375
867657,1398,quarter,60.625,14.375
908004,1471,quarter,67.625,21.125
906567,1471,quarter,67.375,21.875
903681,1471,quarter,66.875,20.375
903682,1471,quarter,66.875,20.625
900809,1471,quarter,66.375,22.375
900812,1471,quarter,66.375,23.125
899346,1435,quarter,66.125,16.625
899348,1435,quarter,66.125,17.125
866225,1434,quarter,60.375,16.375
866212,1398,quarter,60.375,13.125
860456,1397,quarter,59.375,14.125
859028,1433,quarter,59.125,17.125
847499,1397,quarter,57.125,14.875
843172,1397,quarter,56.375,13.125
897900,1435,quarter,65.875,15.125
897908,1435,quarter,65.875,17.125
896472,1435,quarter,65.625,18.125
892159,1434,quarter,64.875,19.875
870546,1434,quarter,61.125,16.625
887822,1434,quarter,64.125,15.625
886400,1470,quarter,63.875,20.125
883514,1434,quarter,63.375,18.625
873422,1434,quarter,61.625,15.625
908012,1471,quarter,67.625,23.125
906554,1435,quarter,67.375,18.625
903665,1435,quarter,66.875,16.375
902224,1435,quarter,66.625,16.125
900802,1471,quarter,66.375,20.625
864780,1434,quarter,60.125,15.125
863345,1433,quarter,59.875,16.375
857583,1433,quarter,58.875,15.875
854703,1433,quarter,58.375,15.875
850383,1433,quarter,57.625,15.875
897910,1435,quarter,65.875,17.625
893580,1435,quarter,65.125,15.125
887830,1434,quarter,64.125,17.625
886393,1434,quarter,63.875,18.375
886397,1434,quarter,63.875,19.375
880614,1398,quarter,62.875,13.625
879187,1434,quarter,62.625,16.875
874854,1398,quarter,61.875,13.625
909448,1471,quarter,67.875,22.125
906557,1435,quarter,67.375,19.375
903688,1471,quarter,66.875,22.125
902235,1435,quarter,66.625,18.875
899338,1399,quarter,66.125,14.625
899343,1435,quarter,66.125,15.875
854704,1433,quarter,58.375,16.125
853260,1433,quarter,58.125,15.125
850374,1397,quarter,57.625,13.625
847491,1397,quarter,57.125,12.875
846056,1397,quarter,56.875,14.125
844622,1433,quarter,56.625,15.625
843175,1397,quarter,56.375,13.875
838856,1397,quarter,55.625,14.125
870535,1398,quarter,61.125,13.875
870543,1434,quarter,61.125,15.875
887835,1434,quarter,64.125,18.875
887823,1434,quarter,64.125,15.875
882063,1434,quarter,63.125,15.875
874867,1434,quarter,61.875,16.875
874868,1434,quarter,61.875,17.125
908013,1471,quarter,67.625,23.375
903684,1471,quarter,66.875,21.125
909442,1471,quarter,67.875,20.625
909431,1435,quarter,67.875,17.875
907990,1435,quarter,67.625,17.625
903686,1471,quarter,66.875,21.625
902236,1435,quarter,66.625,19.125
900783,1435,quarter,66.375,15.875
900804,1471,quarter,66.375,21.125
899373,1471,quarter,66.125,23.375
866227,1434,quarter,60.375,16.875
863328,1397,quarter,59.875,12.125
859012,1397,quarter,59.125,13.125
857586,1433,quarter,58.875,16.625
856129,1397,quarter,58.625,12.375
851817,1397,quarter,57.875,14.375
848928,1397,quarter,57.375,12.125
897905,1435,quarter,65.875,16.375
896469,1435,quarter,65.625,17.375
896484,1471,quarter,65.625,21.125
896488,1471,quarter,65.625,22.125
876303,1434,quarter,62.125,15.875
887827,1434,quarter,64.125,16.875
886401,1470,quarter,63.875,20.375
886373,1398,quarter,63.875,13.375
882058,1398,quarter,63.125,14.625
880612,1398,quarter,62.875,13.125
910879,1435,quarter,68.125,19.875
910890,1471,quarter,68.125,22.625
908009,1471,quarter,67.625,22.375
906559,1435,quarter,67.375,19.875
903673,1435,quarter,66.875,18.375
900786,1435,quarter,66.375,16.625
866214,1398,quarter,60.375,13.625
859026,1433,quarter,59.125,16.625
854698,1397,quarter,58.375,14.625
851835,1433,quarter,57.875,18.875
850384,1433,quarter,57.625,16.125
846062,1433,quarter,56.875,15.625
846065,1433,quarter,56.875,16.375
895032,1435,quarter,65.375,18.125
893589,1435,quarter,65.125,17.375
886371,1398,quarter,63.875,12.875
880620,1434,quarter,62.875,15.125
880627,1434,quarter,62.875,16.875
880615,1398,quarter,62.875,13.875
879173,1398,quarter,62.625,13.375
874866,1434,quarter,61.875,16.625
871974,1398,quarter,61.375,13.625
912328,1471,quarter,68.375,22.125
910880,1471,quarter,68.125,20.125
