point,cell,grid,lat,lon
4016867,1470,smos,63.708,20.212
4016868,1434,smos,63.664001,19.896
4016869,1434,smos,63.618,19.582001
4017378,1470,smos,63.868,20.562
4017379,1470,smos,63.826,20.245001
4017380,1434,smos,63.779999,19.927
4017381,1434,smos,63.736,19.611
4017382,1434,smos,63.688999,19.295
4017890,1470,smos,63.986,20.597
4017891,1470,smos,63.942001,20.277
4017892,1434,smos,63.896999,19.958
4017893,1434,smos,63.853001,19.641001
4017894,1434,smos,63.806999,19.325001
4017895,1434,smos,63.761002,19.01
4018401,1470,smos,64.143997,20.952
4018402,1470,smos,64.101997,20.631001
4018403,1470,smos,64.057999,20.309
4018404,1434,smos,64.014,19.989
4018405,1434,smos,63.970001,19.672001
4018406,1434,smos,63.924,19.354
4018407,1434,smos,63.879002,19.038
4018408,1434,smos,63.832001,18.724001
4018913,1470,smos,64.262001,20.988001
4018914,1470,smos,64.219002,20.665001
4018915,1470,smos,64.176003,20.343
4018916,1470,smos,64.132004,20.021
4018917,1434,smos,64.085999,19.701
4018918,1434,smos,64.041,19.384001
4018919,1434,smos,63.994999,19.066
4018920,1434,smos,63.949001,18.75
4018921,1434,smos,63.902,18.436001
4018922,1434,smos,63.854,18.121
4019426,1470,smos,64.334999,20.700001
4019427,1470,smos,64.292,20.375
4019428,1470,smos,64.249001,20.054001
4019429,1434,smos,64.205002,19.733
4019430,1434,smos,64.160004,19.413
4019431,1434,smos,64.112999,19.094
4019432,1434,smos,64.067001,18.777
4019433,1434,smos,64.018997,18.461
4019434,1434,smos,63.972,18.146
4019435,1434,smos,63.923,17.833
4019937,1470,smos,64.495003,21.059
4019938,1470,smos,64.453003,20.735001
4019939,1470,smos,64.410004,20.409
4019940,1470,smos,64.364998,20.086
4019941,1434,smos,64.320999,19.764
4019942,1434,smos,64.277,19.444
4019943,1434,smos,64.231003,19.125
4019944,1434,smos,64.183998,18.805
4019945,1434,smos,64.138,18.489
4019946,1434,smos,64.088997,18.173
4019947,1434,smos,64.041,17.857
4019948,1434,smos,63.992001,17.545
4020451,1470,smos,64.527,20.444
4020452,1470,smos,64.484001,20.120001
4020453,1434,smos,64.440002,19.797001
4020454,1434,smos,64.393997,19.475
4020455,1434,smos,64.348,19.153
4020456,1434,smos,64.303001,18.833
4020457,1434,smos,64.254997,18.516001
4020458,1434,smos,64.208,18.198
4020459,1434,smos,64.160004,17.882
4020460,1434,smos,64.111,17.568001
4020461,1434,smos,64.059998,17.254
4020462,1434,smos,64.011002,16.941
4020965,1434,smos,64.556,19.829
4020966,1434,smos,64.512001,19.506001
4020967,1434,smos,64.467003,19.184
4020968,1434,smos,64.419998,18.863001
4020969,1434,smos,64.374001,18.542
4020970,1434,smos,64.324997,18.225
4020971,1434,smos,64.277,17.908001
4020972,1434,smos,64.227997,17.591
4020973,1434,smos,64.18,17.277
4020974,1434,smos,64.127998,16.964001
4020975,1434,smos,64.078003,16.65
4021479,1434,smos,64.584,19.214001
4021480,1434,smos,64.539001,18.891001
4021481,1434,smos,64.490997,18.57
4021482,1434,smos,64.444,18.25
4021483,1434,smos,64.397003,17.933001
4021484,1434,smos,64.347,17.615
4021485,1434,smos,64.296997,17.299
4021486,1434,smos,64.248001,16.985001
4021487,1434,smos,64.195999,16.672001
4021488,1434,smos,64.146004,16.360001
4021993,1434,smos,64.610001,18.599001
4021994,1434,smos,64.563004,18.277
4021995,1434,smos,64.514,17.958
4021996,1434,smos,64.466003,17.639
4021997,1434,smos,64.416,17.322001
4021998,1434,smos,64.365997,17.006001
4021999,1434,smos,64.316002,16.691
4022000,1434,smos,64.264,16.378
4022001,1434,smos,64.211998,16.066
4022002,1434,smos,64.160004,15.755
4022507,1434,smos,64.634003,17.983
4022508,1434,smos,64.584,17.663
4022509,1434,smos,64.536003,17.346001
4022510,1434,smos,64.486,17.028
4022511,1434,smos,64.433998,16.712
4022512,1434,smos,64.384003,16.398001
4022513,1434,smos,64.332001,16.084
4022514,1434,smos,64.278,15.772
4022515,1434,smos,64.224998,15.461
4023021,1434,smos,64.653999,17.368
4023022,1434,smos,64.605003,17.051001
4023023,1434,smos,64.555,16.733
4023024,1434,smos,64.501999,16.417
4023025,1434,smos,64.449997,16.104
4023026,1434,smos,64.399002,15.791
4023027,1434,smos,64.346001,15.479
4023028,1434,smos,64.291,15.168
4023535,1434,smos,64.674004,16.754
4023536,1434,smos,64.623001,16.437
4023537,1434,smos,64.57,16.121
4023538,1434,smos,64.516998,15.807
4023539,1434,smos,64.463997,15.494
4023540,1434,smos,64.411003,15.182
4023541,1398,smos,64.357002,14.873
4024049,1434,smos,64.690002,16.141001
4024050,1434,smos,64.638,15.826
4024051,1434,smos,64.584,15.51
4024052,1434,smos,64.529999,15.197
4024053,1398,smos,64.475998,14.887
4024054,1398,smos,64.420998,14.576
4024055,1398,smos,64.364998,14.267
4024563,1434,smos,64.705002,15.527
4024564,1434,smos,64.651001,15.213
4024565,1398,smos,64.597,14.901
4024566,1398,smos,64.541,14.588
4024567,1398,smos,64.486,14.279
4025077,1398,smos,64.717003,14.914
4025078,1398,smos,64.662003,14.602
4025079,1398,smos,64.606003,14.291
4025080,1398,smos,64.550003,13.98
4025591,1398,smos,64.724998,14.303
4025592,1398,smos,64.668999,13.991
4015846,1434,smos,63.339001,19.211
4015847,1434,smos,63.291,18.9
4015848,1434,smos,63.243999,18.591
4015849,1434,smos,63.195,18.284
4016358,1434,smos,63.456001,19.239
4016359,1434,smos,63.409,18.927
4016360,1434,smos,63.361,18.618
4016361,1434,smos,63.313,18.308001
4016362,1434,smos,63.264,18
4016363,1434,smos,63.215,17.694
4016870,1434,smos,63.573002,19.267
4016871,1434,smos,63.527,18.954
4016872,1434,smos,63.479,18.643
4016873,1434,smos,63.43,18.333
4016874,1434,smos,63.382,18.024
4016875,1434,smos,63.333,17.715
4016876,1434,smos,63.284,17.409
4016877,1434,smos,63.233002,17.104
4017383,1434,smos,63.644001,18.982
4017384,1434,smos,63.597,18.67
4017385,1434,smos,63.548,18.358
4017386,1434,smos,63.5,18.048
4017387,1434,smos,63.451,17.739
4017388,1434,smos,63.401001,17.43
4017389,1434,smos,63.351002,17.125
4017390,1434,smos,63.299,16.819
4017391,1434,smos,63.248001,16.514
4017896,1434,smos,63.714001,18.697001
4017897,1434,smos,63.666,18.384001
4017898,1434,smos,63.618,18.072001
4017899,1434,smos,63.569,17.763
4017900,1434,smos,63.52,17.454
4017901,1434,smos,63.469002,17.145
4017902,1434,smos,63.417,16.839001
4017903,1434,smos,63.367001,16.534
4017904,1434,smos,63.313,16.229
4017905,1434,smos,63.261002,15.927
4018409,1434,smos,63.784,18.409
4018410,1434,smos,63.736,18.097
4018411,1434,smos,63.687,17.785
4018412,1434,smos,63.638,17.475
4018413,1434,smos,63.587002,17.166
4018414,1434,smos,63.535999,16.860001
4018415,1434,smos,63.485001,16.552
4018416,1434,smos,63.431999,16.247
4018417,1434,smos,63.380001,15.944
4018418,1434,smos,63.326,15.64
4018923,1434,smos,63.805,17.809
4018924,1434,smos,63.756001,17.499001
4018925,1434,smos,63.706001,17.188
4018926,1434,smos,63.653999,16.879
4018927,1434,smos,63.604,16.572001
4018928,1434,smos,63.549999,16.266001
4018929,1434,smos,63.499001,15.961
4018930,1434,smos,63.444,15.656
4018931,1434,smos,63.389999,15.354
4019436,1434,smos,63.874001,17.52
4019437,1434,smos,63.824001,17.209
4019438,1434,smos,63.771999,16.899
