point,cell,grid,lat,lon
2927649,1470,warp,63.889568,20.356308
2927653,1470,warp,63.889568,20.610764
2930475,1470,warp,64.001701,20.182379
2930479,1470,warp,64.001701,20.437851
2930483,1470,warp,64.001701,20.693325
2933293,1470,warp,64.113831,20.263626
2933297,1470,warp,64.113831,20.520128
2933301,1470,warp,64.113831,20.77663
2936095,1470,warp,64.22596,20.088072
2936099,1470,warp,64.22596,20.34561
2936103,1470,warp,64.22596,20.603149
2936107,1470,warp,64.22596,20.860689
2938897,1470,warp,64.338089,20.686926
2938901,1470,warp,64.338089,20.945513
2938905,1470,warp,64.338089,21.204098
2941691,1470,warp,64.450211,21.290751
2944445,1470,warp,64.562332,20.074648
2944449,1470,warp,64.562332,20.335358
2944453,1470,warp,64.562332,20.596067
2944457,1470,warp,64.562332,20.856777
2944461,1470,warp,64.562332,21.117487
2944465,1470,warp,64.562332,21.378197
2947207,1470,warp,64.674454,20.157516
2947211,1470,warp,64.674454,20.419304
2947215,1470,warp,64.674454,20.681089
2947219,1470,warp,64.674454,20.942875
2949957,1470,warp,64.786575,20.24115
2949961,1470,warp,64.786575,20.504023
2949965,1470,warp,64.786575,20.766895
2949969,1470,warp,64.786575,21.029766
2958135,1471,warp,65.122925,20.230551
2958139,1471,warp,65.122925,20.496742
2958143,1471,warp,65.122925,20.762934
2958147,1471,warp,65.122925,21.029125
2958151,1471,warp,65.122925,21.295317
2960845,1471,warp,65.235039,20.583538
2960849,1471,warp,65.235039,20.850857
2960853,1471,warp,65.235039,21.118176
2960857,1471,warp,65.235039,21.385494
2963531,1471,warp,65.347153,20.134239
2963535,1471,warp,65.347153,20.402695
2963539,1471,warp,65.347153,20.671152
2963543,1471,warp,65.347153,20.939608
2963547,1471,warp,65.347153,21.208065
2963551,1471,warp,65.347153,21.476521
2966213,1471,warp,65.459259,20.220385
2966217,1471,warp,65.459259,20.489988
2966221,1471,warp,65.459259,20.759594
2966225,1471,warp,65.459259,21.0292
2966229,1471,warp,65.459259,21.298805
2966233,1471,warp,65.459259,21.568409
2966237,1471,warp,65.459259,21.838015
2968879,1471,warp,65.571365,20.036583
2968883,1471,warp,65.571365,20.307348
2968887,1471,warp,65.571365,20.578112
2968891,1471,warp,65.571365,20.848877
2968895,1471,warp,65.571365,21.119642
2968899,1471,warp,65.571365,21.390406
2968903,1471,warp,65.571365,21.661171
2968907,1471,warp,65.571365,21.931936
2974211,1471,warp,65.795578,22.122477
2974223,1471,warp,65.795578,22.941828
2974227,1471,warp,65.795578,23.214945
2976817,1471,warp,65.907684,20.024641
2976821,1471,warp,65.907684,20.298952
2976825,1471,warp,65.907684,20.573263
2976829,1471,warp,65.907684,20.847572
2976833,1471,warp,65.907684,21.121883
2976837,1471,warp,65.907684,21.396193
2976841,1471,warp,65.907684,21.670504
2976845,1471,warp,65.907684,21.944813
2976849,1471,warp,65.907684,22.219124
2976853,1471,warp,65.907684,22.493433
2976857,1471,warp,65.907684,22.767744
2976861,1471,warp,65.907684,23.042053
2976865,1471,warp,65.907684,23.316364
2976869,1471,warp,65.907684,23.590673
2976873,1471,warp,65.907684,23.864985
2979447,1471,warp,66.019783,20.3881
2979451,1471,warp,66.019783,20.663614
2979455,1471,warp,66.019783,20.939129
2979459,1471,warp,66.019783,21.214643
2979463,1471,warp,66.019783,21.490158
2979467,1471,warp,66.019783,21.765673
2979471,1471,warp,66.019783,22.041189
2979475,1471,warp,66.019783,22.316704
2979479,1471,warp,66.019783,22.592218
2979483,1471,warp,66.019783,22.867733
2979487,1471,warp,66.019783,23.143248
2979491,1471,warp,66.019783,23.418762
2979495,1471,warp,66.019783,23.694277
2979499,1471,warp,66.019783,23.969791
2982057,1471,warp,66.131882,20.20138
2982061,1471,warp,66.131882,20.478111
2982065,1471,warp,66.131882,20.754843
2982069,1471,warp,66.131882,21.031574
2982073,1471,warp,66.131882,21.308306
2982077,1471,warp,66.131882,21.585035
2982081,1471,warp,66.131882,21.861767
2982085,1471,warp,66.131882,22.138498
2982089,1471,warp,66.131882,22.41523
2982093,1471,warp,66.131882,22.691961
2982097,1471,warp,66.131882,22.968693
2982101,1471,warp,66.131882,23.245424
2982105,1471,warp,66.131882,23.522156
2982109,1471,warp,66.131882,23.798885
2984655,1471,warp,66.24398,20.013083
2984659,1471,warp,66.24398,20.29104
2984663,1471,warp,66.24398,20.569
2984667,1471,warp,66.24398,20.84696
2984671,1471,warp,66.24398,21.12492
2984675,1471,warp,66.24398,21.40288
2984679,1471,warp,66.24398,21.68084
2984683,1471,warp,66.24398,21.958797
2984687,1471,warp,66.24398,22.236757
2984691,1471,warp,66.24398,22.514717
2984695,1471,warp,66.24398,22.792677
2984699,1471,warp,66.24398,23.070637
2984703,1471,warp,66.24398,23.348595
2984707,1471,warp,66.24398,23.626554
2987245,1471,warp,66.356079,20.102381
2987249,1471,warp,66.356079,20.38158
2987253,1471,warp,66.356079,20.66078
2987257,1471,warp,66.356079,20.93998
2987261,1471,warp,66.356079,21.219179
2989823,1471,warp,66.46817,20.192556
2989827,1471,warp,66.46817,20.473009
2989831,1471,warp,66.46817,20.753462
2989835,1471,warp,66.46817,21.033915
2989839,1471,warp,66.46817,21.314365
2989843,1471,warp,66.46817,21.594818
2989847,1471,warp,66.46817,21.875271
2989851,1471,warp,66.46817,22.155722
2989855,1471,warp,66.46817,22.436174
2989859,1471,warp,66.46817,22.716627
2989863,1471,warp,66.46817,22.99708
2989867,1471,warp,66.46817,23.277531
2989871,1471,warp,66.46817,23.557983
2992385,1471,warp,66.580269,20.001907
2992389,1471,warp,66.580269,20.283625
2992393,1471,warp,66.580269,20.565342
2992397,1471,warp,66.580269,20.847059
2992401,1471,warp,66.580269,21.128775
2992405,1471,warp,66.580269,21.410492
2992409,1471,warp,66.580269,21.692209
2992413,1471,warp,66.580269,21.973927
2992417,1471,warp,66.580269,22.255644
2992421,1471,warp,66.580269,22.537361
2992425,1471,warp,66.580269,22.819077
2992429,1471,warp,66.580269,23.100794
2992433,1471,warp,66.580269,23.382511
2992437,1471,warp,66.580269,23.664228
2994939,1471,warp,66.69236,20.0926
2994943,1471,warp,66.69236,20.375595
2994947,1471,warp,66.69236,20.65859
2994951,1471,warp,66.69236,20.941584
2994955,1471,warp,66.69236,21.224579
2994959,1471,warp,66.69236,21.507572
2994963,1471,warp,66.69236,21.790567
2994967,1471,warp,66.69236,22.073561
2994971,1471,warp,66.69236,22.356556
2994975,1471,warp,66.69236,22.639549
2994979,1471,warp,66.69236,22.922544
2994983,1471,warp,66.69236,23.20554
2994987,1471,warp,66.69236,23.488533
2994991,1471,warp,66.69236,23.771528
2997537,1471,warp,66.804451,23.879896
3002581,1471,warp,67.028625,23.239191
3002585,1471,warp,67.028625,23.526094
3005047,1471,warp,67.140709,20.176311
3005051,1471,warp,67.140709,20.464544
3005055,1471,warp,67.140709,20.752777
3005059,1471,warp,67.140709,21.04101
3005063,1471,warp,67.140709,21.329243
3005067,1471,warp,67.140709,21.617476
3005071,1471,warp,67.140709,21.905708
3005075,1471,warp,67.140709,22.193941
3005079,1471,warp,67.140709,22.482174
3005083,1471,warp,67.140709,22.770407
3005087,1471,warp,67.140709,23.058641
3005091,1471,warp,67.140709,23.346874
3007553,1471,warp,67.252792,20.849464
3007557,1471,warp,67.252792,21.139042
3007561,1471,warp,67.252792,21.428617
3007565,1471,warp,67.252792,21.718193
3007569,1471,warp,67.252792,22.007769
3007573,1471,warp,67.252792,22.297344
3007577,1471,warp,67.252792,22.58692
3007581,1471,warp,67.252792,22.876497
3007585,1471,warp,67.252792,23.166073
3007589,1471,warp,67.252792,23.455648
3010027,1471,warp,67.364876,20.074343
3010031,1471,warp,67.364876,20.365274
3010035,1471,warp,67.364876,20.656206
3010039,1471,warp,67.364876,20.94714
3010043,1471,warp,67.364876,21.238071
3010047,1471,warp,67.364876,21.529005
3010051,1471,warp,67.364876,21.819937
3010055,1471,warp,67.364876,22.110868
3010059,1471,warp,67.364876,22.401802
3010063,1471,warp,67.364876,22.692734
3010067,1471,warp,67.364876,22.983667
3010071,1471,warp,67.364876,23.274599
3010075,1471,warp,67.364876,23.565533
3012501,1471,warp,67.476952,20.168905
3012505,1471,warp,67.476952,20.461208
3012509,1471,warp,67.476952,20.753511
3012513,1471,warp,67.476952,21.045815
3012517,1471,warp,67.476952,21.338118
3012521,1471,warp,67.476952,21.630421
3012525,1471,warp,67.476952,21.922722
3012529,1471,warp,67.476952,22.215025
3012533,1471,warp,67.476952,22.507328
3012537,1471,warp,67.476952,22.799631
3012541,1471,warp,67.476952,23.091934
3012545,1471,warp,67.476952,23.384237
3014963,1471,warp,67.589035,20.264441
3014967,1471,warp,67.589035,20.558128
3014971,1471,warp,67.589035,20.851816
3014975,1471,warp,67.589035,21.145504
3014979,1471,warp,67.589035,21.439192
3014983,1471,warp,67.589035,21.732878
3014987,1471,warp,67.589035,22.026566
3014991,1471,warp,67.589035,22.320253
3014995,1471,warp,67.589035,22.613941
3014999,1471,warp,67.589035,22.907629
3015003,1471,warp,67.589035,23.201317
