,proc_flag,slope40,conf_flag,slope40_noise,sigma40_noise,corr_flag,sm,sat_id,ssf,sigma40,dir,sm_noise,snow_prob,frozen_prob,abs_sm_gldas,abs_sm_noise_gldas,abs_sm_hwsd,abs_sm_noise_hwsd
2007-01-01 07:52:39.373968,0,-0.120000005,1,0.00049,0.089999996,0,61.26,3,2,-11.03,1,2.07,100,100,,,,
2007-01-01 19:29:46.874024,0,-0.120000005,1,0.00049,0.089999996,0,58.18,3,2,-11.17,0,2.06,100,100,,,,
2007-01-02 10:52:14.998972,0,-0.120000005,1,0.00049,0.089999996,0,54.84,3,2,-11.32,1,2.06,100,100,,,,
2007-01-02 19:08:54.375043,0,-0.120000005,1,0.00049,0.089999996,0,60.19,3,2,-11.08,0,2.12,100,100,,,,
2007-01-03 10:31:41.250000,0,-0.120000005,1,0.00049,0.089999996,0,56.77,3,2,-11.23,1,2.09,89,100,,,,
2007-01-03 17:07:56.249038,0,-0.120000005,1,0.00049,0.089999996,0,58.14,3,2,-11.17,0,2.1399999,89,100,,,,
2007-01-03 18:48:05.624956,0,-0.120000005,1,0.00049,0.089999996,0,64.02,3,2,-10.91,0,2.2,89,100,,,,
2007-01-04 08:30:56.249972,0,-0.120000005,1,0.00049,0.089999996,0,59.93,3,2,-11.09,1,2.2,89,100,,,,
2007-01-04 10:11:05.623987,0,-0.120000005,1,0.00049,0.089999996,0,57.14,3,2,-11.219999,1,2.1399999,89,100,,,,
2007-01-04 16:47:20.625014,0,-0.120000005,1,0.00049,0.089999996,0,60.37,3,2,-11.07,0,2.09,89,100,,,,
2007-01-05 08:10:06.562012,0,-0.119,1,0.00048,0.089999996,0,55.07,3,2,-11.309999,1,2.12,89,100,,,,
2007-01-05 16:26:46.873968,0,-0.119,1,0.00048,0.089999996,0,56.469997,3,2,-11.25,0,2.06,89,100,,,,
2007-01-06 07:49:14.999002,0,-0.119,1,0.00048,0.089999996,0,58.239998,3,2,-11.17,1,2.07,89,100,,,,
2007-01-06 19:26:22.498972,0,-0.119,1,0.00048,0.089999996,0,65.1,3,2,-10.86,0,2.07,89,100,,,,
2007-01-07 10:48:52.498972,0,-0.119,1,0.00048,0.089999996,0,57.89,3,2,-11.179999,1,2.07,89,100,,,,
2007-01-07 17:25:11.250019,0,-0.119,1,0.00048,0.089999996,0,64.28,3,2,-10.889999,0,2.19,89,100,,,,
2007-01-07 19:05:29.999990,0,-0.119,1,0.00048,0.089999996,0,62.789997,3,2,-10.96,0,2.1299999,89,100,,,,
2007-01-08 10:28:18.750000,0,-0.119,1,0.00048,0.089999996,0,61.879997,3,2,-11.0,1,2.1,89,100,,,,
2007-01-08 17:04:33.749990,0,-0.119,1,0.00048,0.089999996,0,65.85,3,2,-10.82,0,2.1299999,89,100,,,,
2007-01-09 08:27:31.875004,0,-0.119,1,0.00048,0.089999996,0,77.85,3,2,-10.28,1,2.18,89,100,,,,
2007-01-09 10:07:43.125024,0,-0.119,1,0.00048,0.089999996,0,74.15,3,2,-10.44,1,2.1499999,89,100,,,,
2007-01-09 16:43:58.125014,0,-0.119,1,0.00048,0.089999996,0,66.81,3,2,-10.7699995,0,2.09,89,100,,,,
2007-01-10 08:06:42.187046,0,-0.119,1,0.00048,0.089999996,0,67.159996,3,2,-10.76,1,2.11,100,100,,,,
2007-01-10 16:23:24.375004,0,-0.119,1,0.00048,0.089999996,0,61.26,3,2,-11.0199995,0,2.06,100,100,,,,
2007-01-11 07:45:50.624035,0,-0.119,1,0.00048,0.089999996,0,59.48,3,2,-11.099999,1,2.07,100,100,,,,
2007-01-11 19:22:56.249038,0,-0.119,1,0.00048,0.089999996,0,72.29,3,2,-10.53,0,2.09,100,100,,,,
2007-01-12 10:45:31.874976,0,-0.119,1,0.00048,0.089999996,0,67.0,3,2,-10.76,1,2.07,89,100,,,,
2007-01-12 17:21:48.748982,0,-0.119,1,0.00048,0.089999996,0,75.39,3,2,-10.389999,0,2.18,89,100,,,,
2007-01-12 19:02:05.625024,0,-0.119,1,0.00048,0.089999996,0,74.18,3,2,-10.44,0,2.1399999,89,100,,,,
2007-01-13 10:24:56.248962,0,-0.119,1,0.00048,0.089999996,0,62.92,3,2,-10.95,1,2.11,89,96,,,,
2007-01-13 17:01:13.124956,0,-0.119,1,0.00048,0.089999996,0,64.81,3,2,-10.86,0,2.12,89,96,,,,
2007-01-14 08:24:07.499952,0,-0.11800001,1,0.00048,0.089999996,0,71.29,3,2,-10.57,1,2.1699998,100,100,,,,
2007-01-14 10:04:20.625024,0,-0.11800001,1,0.00048,0.089999996,0,69.34,3,2,-10.66,1,2.1599998,100,100,,,,
2007-01-14 16:40:37.499030,0,-0.11800001,1,0.00048,0.089999996,0,71.28,3,2,-10.57,0,2.09,100,100,,,,
2007-01-15 08:03:16.874985,0,-0.11800001,1,0.00048,0.089999996,0,71.159996,3,2,-10.57,1,2.1,100,100,,,,
2007-01-15 16:20:03.749971,0,-0.11800001,1,0.00048,0.089999996,0,55.92,3,2,-11.259999,0,2.06,100,100,,,,
2007-01-16 07:42:24.374014,0,-0.11800001,1,0.00048,0.089999996,0,58.32,3,2,-11.15,1,2.07,89,100,,,,
2007-01-16 19:19:31.873987,0,-0.11800001,1,0.00048,0.089999996,0,69.97,3,2,-10.63,0,2.1,89,100,,,,
2007-01-17 10:42:09.374976,0,-0.11800001,1,0.00048,0.089999996,0,60.98,3,2,-11.03,1,2.08,89,100,,,,
2007-01-17 17:18:26.250019,0,-0.11800001,1,0.00048,0.089999996,0,69.65,3,2,-10.639999,0,2.1699998,89,100,,,,
2007-01-17 18:58:41.250057,0,-0.11800001,1,0.00048,0.089999996,0,67.36,3,2,-10.74,0,2.1599998,89,100,,,,
2007-01-18 10:21:33.750000,0,-0.11800001,1,0.00048,0.089999996,0,60.09,3,2,-11.07,1,2.12,100,96,,,,
2007-01-18 16:57:50.625043,0,-0.11800001,1,0.00048,0.089999996,0,62.89,3,2,-10.94,0,2.12,100,96,,,,
2007-01-19 08:20:43.124985,0,-0.11800001,1,0.00048,0.089999996,0,67.299995,3,2,-10.74,1,2.1599998,100,100,,,,
2007-01-19 10:00:58.125024,0,-0.11800001,1,0.00048,0.089999996,0,67.5,3,2,-10.73,1,2.1699998,100,100,,,,
2007-01-19 16:37:14.999980,0,-0.11800001,1,0.00048,0.089999996,0,64.619995,3,2,-10.86,0,2.08,100,100,,,,
2007-01-20 07:59:52.500019,0,-0.117000006,1,0.00048,0.089999996,0,75.53,3,2,-10.37,1,2.1,100,100,,,,
2007-01-20 19:36:59.999040,0,-0.117000006,1,0.00048,0.089999996,0,72.28,3,2,-10.5199995,0,2.07,100,100,,,,
2007-01-21 10:59:20.624984,0,-0.117000006,1,0.00048,0.089999996,0,74.88,3,2,-10.4,1,2.07,100,100,,,,
2007-01-21 19:16:07.499020,0,-0.117000006,1,0.00048,0.089999996,0,77.78,3,2,-10.2699995,0,2.11,100,100,,,,
2007-01-22 10:38:46.874976,0,-0.117000006,1,0.00048,0.089999996,0,71.54,3,2,-10.55,1,2.09,100,100,,,,
2007-01-22 17:15:03.750019,0,-0.117000006,1,0.00048,0.089999996,0,75.549995,3,2,-10.37,0,2.1599998,100,100,,,,
2007-01-22 18:55:16.875004,0,-0.117000006,1,0.00048,0.089999996,0,78.759995,3,2,-10.23,0,2.1699998,100,100,,,,
2007-01-23 10:18:11.250000,0,-0.117000006,1,0.00048,0.089999996,0,73.939995,3,2,-10.44,1,2.1299999,100,100,,,,
2007-01-23 16:54:28.124006,0,-0.117000006,1,0.00048,0.089999996,0,81.25,3,2,-10.12,0,2.11,100,100,,,,
