,soil_moisture,soil_moisture_error,retrieval_qual_flag,surface_flag,freeze_thaw_fraction
2015-04-01,,,,,0.8125
2015-04-02,,,,,0.8125
2015-04-03,,,,,0.8125
2015-04-04,,,,,0.8125
2015-04-05,,,,,0.8125
2015-04-06,,,,,0.8125
2015-04-07,,,,,0.8125
2015-04-08,,,,,0.0
2015-04-09,,,,,0.0
2015-04-10,,,,,0.25
2015-04-11,,,,,0.1875
2015-04-12,,,,,0.0
2015-04-13,,,,,0.0
2015-04-14,,,,,0.1875
2015-04-15,,,,,0.1875
2015-04-16,,,,,0.1875
2015-04-17,,,,,0.1875
2015-04-18,,,,,0.1875
2015-04-19,,,,,0.0
2015-04-20,,,,,0.0
2015-04-21,,,,,0.0
2015-04-22,,,,,0.0
2015-04-23,,,,,0.0
2015-04-24,,,,,0.0
2015-04-25,,,,,0.0
2015-04-26,,,,,0.0
2015-04-27,,,,,0.0
2015-04-28,0.281494,,,,0.0
2015-04-29,0.2388244,,,,0.0
2015-04-30,0.2710626,,,,0.0
2015-05-01,0.3568445,,,,0.0
2015-05-02,0.32050475,,,,0.0
2015-05-03,0.28791684,,,,0.0
2015-05-04,0.2750993,,,,0.0
2015-05-05,0.30436403,,,,0.0
2015-05-06,0.33997604,,,,0.0
2015-05-07,0.3625851,,,,0.0
2015-05-08,0.3962982,,,,0.0
2015-05-09,0.42815602,,,,0.0
2015-05-10,0.36428702,,,,0.0
2015-05-11,0.40588254,,,,0.0
2015-05-12,0.384455,,,,0.0
2015-05-14,,,,,
2015-05-15,0.46108702,,,,0.0
2015-05-16,0.40546554,,,,0.0
2015-05-17,0.3739301,,,,0.0
2015-05-18,0.36662853,,,,0.0
2015-05-19,0.4169773,,,,0.0
2015-05-20,0.42238927,,,,0.0
2015-05-21,0.42652473,,,,0.0
2015-05-22,0.3912614,,,,0.0
2015-05-23,0.4761483,,,,0.0
2015-05-24,0.412116,,,,0.0
2015-05-25,0.40507734,,,,0.0
2015-05-26,0.41172242,,,,0.0
2015-05-27,,,,,0.0
2015-05-28,0.4100104,,,,0.0
2015-05-29,0.4152806,,,,0.0
2015-05-30,0.40280575,,,,0.0
2015-05-31,0.4827296,,,,0.0
2015-06-01,0.39755422,,,,0.0
2015-06-02,0.44257224,,,,0.0
2015-06-03,0.46475595,,,,0.0
2015-06-04,0.44140315,,,,0.0
2015-06-05,0.44253004,,,,0.0
2015-06-06,0.42909572,,,,0.0
2015-06-07,0.4447973,,,,0.0
2015-06-08,0.44773048,,,,0.0
2015-06-09,0.4549473,,,,0.0
2015-06-10,0.47667414,,,,0.0
2015-06-11,,,,,
2015-06-12,0.4659299,,,,0.0
2015-06-13,0.41097385,,,,0.0
2015-06-14,0.4078434,,,,0.0
2015-06-15,0.3963945,,,,0.0
2015-06-16,0.36128658,,,,0.0
2015-06-17,,,,,
2015-06-18,0.40005124,,,,0.0
2015-06-19,0.37968838,,,,0.0
2015-06-20,0.40381446,,,,0.0
2015-06-21,0.39964575,,,,0.0
2015-06-22,0.40240434,,,,0.0
2015-06-23,0.3721788,,,,0.0
2015-06-24,0.42954078,,,,0.0
2015-06-25,0.4297764,,,,0.0
2015-06-26,0.4292125,,,,0.0
2015-06-27,0.4733023,,,,0.0
2015-06-28,0.40046653,,,,0.0
2015-06-29,0.41840556,,,,0.0
2015-06-30,0.446138,,,,0.0
2015-07-01,0.40614828,,,,0.0
2015-07-02,0.40901747,,,,0.0
2015-07-03,0.36467302,,,,0.0
2015-07-04,0.43451542,,,,0.0
2015-07-05,0.46298188,,,,0.0
2015-07-06,0.4030928,,,,0.0
