Flag,Station,Latitud,Longitud,Höjd
1,Nederbördsmängd - Aapua,66.8656,23.4951,210
1,Nederbördsmängd - Abborrberg,65.4833,16.6,550
1,Nederbördsmängd - Abelvattnet Aut,65.53,14.97,665
1,Nederbördsmängd - Abild,56.9512,12.7909,145
1,Nederbördsmängd - Abisko,68.3557,18.8206,388
1,Nederbördsmängd - Abisko Aut,68.3538,18.8164,392.303
1,Nederbördsmängd - Abraur,65.9857,18.9195,368.079
1,Nederbördsmängd - Adak D,65.3816,18.6164,412.169
1,Nederbördsmängd - Adelsberg,57.8667,16.0667,125
1,Nederbördsmängd - Adelsnäs,58.1998,15.9802,97
1,Nederbördsmängd - Adelsö A,59.3579,17.5213,5.612
1,Nederbördsmängd - Adolfsfors,59.8,12.2333,125
1,Nederbördsmängd - Agö,61.55,17.4666,20
1,Nederbördsmängd - Aktse,67.1498,18.3061,530
1,Nederbördsmängd - Alingsås D,57.8939,12.5472,72.054
1,Nederbördsmängd - Allavaara,67.2594,20.1205,480
1,Nederbördsmängd - Allgunnen,57.0666,15.9681,115
1,Nederbördsmängd - Almdalen,63.9967,14.6701,615
1,Nederbördsmängd - Almunge,59.9334,18.0446,18.689
1,Nederbördsmängd - Alnarp,55.65,13.0833,10
1,Nederbördsmängd - Alnarp Fruktavdelning,55.6571,13.0923,10
1,Nederbördsmängd - Alnarp mellangård,55.6556,13.0511,5
1,Nederbördsmängd - Alstrum,59.4833,13.6,70
1,Nederbördsmängd - Aluokta,67.3094,18.9011,385
1,Nederbördsmängd - Alvhem,58.0067,12.1454,5
1,Nederbördsmängd - Ambjörnarp,57.4166,13.2833,220
1,Nederbördsmängd - Ammarnäs D,65.9621,16.2184,420
1,Nederbördsmängd - Andersviksberg,60.3694,13.8749,420
1,Nederbördsmängd - Aneboda I,57.1166,14.5666,188
1,Nederbördsmängd - Aneboda II,57.1167,14.5639,195
1,Nederbördsmängd - Aneby,57.8232,14.8913,240
1,Nederbördsmängd - Ankarsrum D,57.6784,16.193,96.501
1,Nederbördsmängd - Ankarvattnet D,64.8779,14.2293,460
1,Nederbördsmängd - Arboga,59.3833,15.8333,50
1,Nederbördsmängd - Arbrå,61.4827,16.3801,120
1,Nederbördsmängd - Arjeplog A,66.0513,17.8396,430.839
1,Nederbördsmängd - Arjeplog-Myrheden D,65.9785,18.2211,450.325
1,Nederbördsmängd - Arlanda,59.66,17.9208,26
1,Nederbördsmängd - Arlöv sockerbruk,55.6333,13.0667,3
1,Nederbördsmängd - Arvidsjaur A,65.5941,19.2642,382.45
1,Nederbördsmängd - Arvika,59.6658,12.591,77
1,Nederbördsmängd - Arvika A,59.6743,12.6354,65.758
1,Nederbördsmängd - Arvika sanatorium,59.6667,12.6194,70
1,Nederbördsmängd - Arvingetorp,57.4496,15.0344,210
1,Nederbördsmängd - Aske,59.6166,17.65,15
1,Nederbördsmängd - Asker D,59.1593,15.4633,37.648
1,Nederbördsmängd - Askersund,58.88,14.9,100
1,Nederbördsmängd - Askeryd,57.8055,14.9925,250
1,Nederbördsmängd - Askim D,57.6284,11.9618,88.33
1,Nederbördsmängd - Asmundtorp,55.8833,12.95,15
1,Nederbördsmängd - Aspa D,58.9277,17.1047,26.636
1,Nederbördsmängd - Aspa bruk,58.7664,14.7971,95
1,Nederbördsmängd - Aspeå,63.3994,17.4911,255.8
1,Nederbördsmängd - Asphyttan,59.6112,14.1859,130
1,Nederbördsmängd - Austers D,57.81,18.63,29.205
1,Nederbördsmängd - Avasjö-Borgafjäll D,64.834,15.0748,535.286
1,Nederbördsmängd - Avesta,60.1413,16.1715,99.043
1,Nederbördsmängd - Axelfors,57.45,13.1,150
1,Nederbördsmängd - Axstål Mo,58.5719,14.5722,91
1,Nederbördsmängd - Backa,60.923,15.1145,230
1,Nederbördsmängd - Backarna,61.5666,16.3,185
1,Nederbördsmängd - Backe D,63.8137,16.4038,214.569
1,Nederbördsmängd - Badstuguhöjden,62.9,17.2667,380
1,Nederbördsmängd - Bakarebo D,56.9029,13.696,145
1,Nederbördsmängd - Baksjönäset,63.7062,12.6526,425
1,Nederbördsmängd - Ballastviken,66.49,16.5346,470
1,Nederbördsmängd - Balsjö D,63.9206,19.0703,200
1,Nederbördsmängd - Baramossa,56.3823,12.9855,196.703
1,Nederbördsmängd - Barkarby,59.4166,17.8833,17
1,Nederbördsmängd - Barkåkra,56.29,12.8463,20
1,Nederbördsmängd - Barsebäck,55.7668,12.9473,10
1,Nederbördsmängd - Bastansjö D,65.3817,16.197,499.583
1,Nederbördsmängd - Bastorp,58.904,12.038,150
1,Nederbördsmängd - Beateberg,59.6576,18.4206,40
1,Nederbördsmängd - Beddingestrand,55.3594,13.4286,5.04
1,Nederbördsmängd - Bengtsfors,59.025,12.2401,120
1,Nederbördsmängd - Bensjö,62.7139,15.4667,310
1,Nederbördsmängd - Berg,57.121,14.6931,250
1,Nederbördsmängd - Berga,59.0833,18.1166,15
1,Nederbördsmängd - Berga Mo,59.0688,18.1184,4
1,Nederbördsmängd - Bergaholm,59.2291,17.7164,30
1,Nederbördsmängd - Bergfors,68.15,19.8,480
1,Nederbördsmängd - Bergnäsudden,65.6666,18.15,420
1,Nederbördsmängd - Bergs säteri,58.7167,12.4833,55
1,Nederbördsmängd - Bergsjö,61.9488,17.0669,55
1,Nederbördsmängd - Bergvattnet,65.0158,18.2462,320
1,Nederbördsmängd - Bergvik,61.2602,16.835,50
1,Nederbördsmängd - Bernshammar,59.6663,15.7636,60
1,Nederbördsmängd - Bersbo,58.2635,16.0417,100
1,Nederbördsmängd - Bie,59.083,16.2135,21
1,Nederbördsmängd - Biellojaure,65.7992,15.7208,600
1,Nederbördsmängd - Billingsfors,58.9884,12.2589,85
1,Nederbördsmängd - Bingsgärde,56.4,12.9666,202
1,Nederbördsmängd - Bispgården,63.0246,16.6336,168.062
